Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
2011,Wisconsin,14.9,6,26.2,52.9
2011,Nevada,18,4.9,24.6,52.5
2011,South Dakota,15.5,7.6,25.5,51.5
2011,Idaho,12.4,4.8,24.4,58.5
2011,Nebraska,14.5,5.4,24.3,55.7
2011,Massachusetts,13.3,4.9,28.3,53.5
2011,Washington,12.1,5.4,26,56.5
2011,Iowa,15.5,4.8,25,54.6
2011,Minnesota,13.2,5.9,26.2,54.7
2011,New Hampshire,15.4,4.1,29.2,51.4
2011,Colorado,12.3,6,27.2,54.6
2011,Kansas,16.9,5.1,22.4,55.6
2011,Maine,17.6,5.2,31.6,45.6
2011,Michigan,17.3,6,25.7,51
2011,New Jersey,11.4,5.5,25.8,57.4
2011,Maryland,13.7,5.4,22.6,58.3
2011,Tennessee,18.3,4.7,23.8,53.2
2011,Georgia,14.3,6.9,22.1,56.7
2011,Illinois,14.3,6.6,24.4,54.7
2011,North Dakota,15.9,5.9,25.3,52.9
2011,Arizona,13.1,6.2,24.9,55.9
2011,South Carolina,16.6,6.6,24,52.8
2011,Ohio,19.1,6,25.2,49.7
2011,Vermont,14.7,4.4,30.8,50.1
2011,Pennsylvania,16.9,5.6,25.4,52.2
2011,Wyoming,17.5,5.5,26.2,50.8
2011,New York,12.1,6,25.4,56.5
2011,Virginia,15,5.9,23.6,55.5
2011,New Mexico,13.5,7.9,24.9,53.6
2011,Kentucky,23.6,5.4,24.3,46.8
2011,Utah,8.5,3.3,16,72.2
2011,California,8.6,5,23.9,62.5
2011,Hawaii,12.2,4.7,25.9,57.3
2011,Indiana,19.4,6.2,24.7,49.7
2011,Oklahoma,19.9,6.2,24.7,49.2
2011,Connecticut,11.8,5.3,27.8,55.1
2011,Louisiana,19.3,6.4,22,52.3
2011,Arkansas,20.1,6.8,25.1,48
2011,Delaware,16.3,5.5,28.3,50
2011,Texas,12,7.2,21.8,59
2011,Alaska,15.9,7,27.9,49.1
2011,Mississippi,18.8,7.1,21.3,52.8
2011,Montana,16.4,5.7,26.9,51
2011,Florida,13.5,5.8,28,52.8
2011,Oregon,14.4,5.4,27.5,52.8
2011,Alabama,18.6,5.8,25.1,50.6
2011,West Virginia,23.8,4.9,23.5,47.9
2011,Missouri,19.4,5.6,25,50
2011,Rhode Island,14.4,5.7,27.7,52.2
2011,North Carolina,15.6,6.2,24.8,53.4